postal_code;latitude;longitude
123 60;59.25;18.0833
123 71;59.25;18.0833
124 31;59.2968;18.0313
124 32;59.2968;18.0313
124 34;59.3293235;18.0685808
124 54;59.2968;18.0313
124 65;59.2968;18.0313
124 73;59.2968;18.0313
125 30;59.2793;18.0111
125 31;59.2792832;18.0106056
125 34;59.2793;18.0111
125 42;59.2793;18.0111
125 44;59.2793;18.0111
125 46;59.2793;18.0111
125 47;59.2794954;18.0034188
125 56;59.2793;18.0111
125 71;59.2793;18.0111
125 74;59.2793;18.0111
126 29;59.2974064;18.0034648
126 30;59.3059;17.9872
126 32;59.3059;17.9872
126 33;59.3059;17.9872
126 34;59.3059;17.9872
126 37;59.3059;17.9872
126 38;59.3059;17.9872
126 39;59.3059;17.9872
126 49;59.3059;17.9872
126 50;59.3059;17.9872
126 51;59.3059;17.9872
126 53;59.3059;17.9872
126 54;59.3057329;17.9880998
126 79;59.3059;17.9872
127 04;59.3293235;18.0685808
127 32;59.2755;17.902
127 34;59.2755;17.902
127 38;59.2755;17.902
127 43;59.2755;17.902
127 48;59.2755;17.902
128 32;59.2667;18.1167
128 33;59.2667;18.1167
128 45;59.26;18.1167
128 62;59.25;18.1167
128 65;59.25;18.1167
128 66;59.25;18.1167
129 32;59.3059;17.9872
129 36;59.3059;17.9872
129 37;59.3059;17.9872
129 38;59.3059;17.9872
129 39;59.3059;17.9872
129 41;59.3059;17.9872
129 44;59.3059;17.9872
129 46;59.3059;17.9872
129 47;59.3059;17.9872
129 49;59.3059;17.9872
129 50;59.3059;17.9872
129 51;59.3059;17.9872
129 52;59.3059;17.9872
129 55;59.3059;17.9872
130 25;59.4675;18.7494
130 33;59.4;18.6333
130 34;59.4481;18.69
130 38;59.3196;18.7213
130 39;59.2833;18.9167
130 40;59.3;18.6833
130 42;59.3499;18.7582
130 43;59.3997;18.8331
130 54;59.1331;18.4064
130 56;58.9667;18.3331
131 30;59.3105;18.1637
131 31;59.3105;18.1637
131 32;59.3105;18.1637
131 37;59.3105;18.1637
131 39;59.3105;18.1637
131 40;59.3105;18.1637
131 41;59.3105;18.1637
131 45;59.3105;18.1637
131 47;59.3105;18.1637
131 48;59.3105;18.1637
131 52;59.3134;18.1481
131 53;59.3108448;18.1640398
131 54;59.3105;18.1637
131 60;59.3105;18.1637
131 71;59.3105;18.1637
131 72;59.3105;18.1637
132 30;59.3173;18.255
132 35;59.3173;18.255
132 40;59.3173;18.255
132 45;59.3173;18.255
133 31;59.2833;18.3
133 38;59.2833;18.3
133 41;59.2833;18.3
133 43;59.2833;18.3
134 30;59.3268;18.3898
134 36;59.3268;18.3898
134 39;59.3268;18.3898
134 40;59.3268;18.3898
134 41;59.3268;18.3898
134 44;59.3268;18.3898
134 60;59.3268;18.3898
135 35;59.2333;18.3
135 36;59.2333;18.3
135 39;59.2333;18.3
135 40;59.2333;18.3
135 41;59.2333;18.3
135 44;59.2333;18.3
135 46;59.2333;18.3
135 47;59.2333;18.3
135 49;59.2333;18.3
135 51;59.2333;18.3
135 63;59.2333;18.3
136 23;59.1677;18.1448
136 38;59.1681;18.138
136 39;59.1677;18.1448
136 40;59.1677;18.1448
136 41;59.1677;18.1448
136 42;59.1677;18.1448
136 44;59.1677;18.1448
136 45;59.1677;18.1448
136 46;59.1677;18.1448
136 47;59.1677;18.1448
136 49;59.1677;18.1448
136 50;59.1677;18.1448
136 51;59.1677;18.1448
136 52;59.1677;18.1448
136 58;59.1882;18.123
136 60;59.1677;18.1448
136 63;59.1677;18.1448
136 65;59.1677;18.1448
136 68;59.1677;18.1448
136 71;59.1677;18.1448
136 74;59.197122;18.1608175
136 91;59.1677;18.1448
137 00;59.1167;18.1
137 25;59.17555;18.1413703
137 34;59.1167;18.1
137 37;59.1167;18.1
137 38;59.1167;18.1
137 41;59.1167;18.1
137 56;59.1;18.0331
137 62;59.1395809;18.1423216
137 64;59.140916;18.1330655
137 96;59.0944923;18.273979
137 97;59.0830992;18.1681382
138 30;59.2667;18.1833
138 31;59.2667;18.1833
138 32;59.2667;18.1833
138 33;59.2667;18.1833
138 34;59.2667;18.1833
139 31;59.35;18.5
139 35;59.35;18.5
139 56;59.35;18.5
139 70;59.2927267;18.6877878
139 71;59.2772687;18.691457
139 73;59.3;18.6833
141 28;59.237;17.9819
141 35;59.237;17.9819
141 37;59.237;17.9819
141 40;59.237;17.9819
141 41;59.237;17.9819
141 45;59.237;17.9819
141 47;59.237;17.9819
141 49;59.237;17.9819
141 51;59.237;17.9819
141 52;59.237;17.9819
141 71;59.2833;17.9333
141 72;59.2833;17.9333
141 75;59.2833;17.9333
141 86;59.3326;18.0649
142 30;59.2167;18.15
142 34;59.2167;18.15
142 50;59.2167;18.15
142 53;59.2167;18.15
142 60;59.2333;18.1333
142 91;59.2167;18.15
143 30;59.2667;17.8833
143 31;59.2667;17.8833
143 40;59.2667;17.8833
143 41;59.2667;17.8833
143 46;59.2667;17.8833
144 30;59.2;17.7333
144 31;59.2;17.7333
144 33;59.2;17.7333
144 40;59.2;17.7333
144 61;59.2;17.7333
145 51;59.25;17.7833
145 53;59.25;17.7833
145 57;59.25;17.7833
145 59;59.25;17.7833
